Problem_Size;Total_Iterations;LS_Iterations;Acceptance_Prob;Tabu_Size;CP_Limit_s;Empty_Factor_Init;Alpha_Decay;Execution_Time_s;Best_Cost;Solution_Valid;CP_Calls;CP_Successes;Run_ID
4;0;0;0.15;10;15;0.2;0.2;0.00020265579223632812;0;True;0;0;Rezultati
4;0;0;0.15;10;15;0.2;0.2;0.00019311904907226562;0;True;0;0;Rezultati
4;0;0;0.15;10;15;0.2;0.2;0.0001914501190185547;0;True;0;0;Rezultati
9;1;5000;0.15;10;15;0.2;0.2;22.028392791748047;0;True;1;1;Rezultati
9;1;5000;0.15;10;15;0.2;0.2;21.46422052383423;0;True;1;1;Rezultati
9;1;5000;0.15;10;15;0.2;0.2;21.678722143173218;0;True;1;1;Rezultati
16;1;5000;0.15;10;15;0.2;0.2;65.9350311756134;0;True;1;1;Rezultati
16;1;5000;0.15;10;15;0.2;0.2;110.35087060928345;0;True;1;1;Rezultati
25;1;5000;0.15;10;15;0.2;0.2;278.2186186313629;0;True;1;1;Rezultati
9;200;1000000;0.15;10;15;0.2;0.2;37.00466346740723;2;False;200;1;Rezultati
16;200;1000000;0.15;10;15;0.2;0.2;117.19686555862427;90;False;200;1;Rezultati
